ID,label
0,2
1,0
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,0
10,0
11,2
12,2
13,0
14,2
15,2
16,0
17,1
18,2
19,2
20,2
21,2
22,0
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,0
37,2
38,2
39,2
40,2
41,1
42,2
43,2
44,0
45,2
46,2
47,2
48,2
49,2
50,2
51,0
52,2
53,2
54,2
55,2
56,2
57,2
58,0
59,0
60,2
61,2
62,2
63,2
64,2
65,0
66,0
67,1
68,2
69,2
70,1
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,1
87,2
88,2
89,1
90,0
91,0
92,2
93,2
94,2
95,2
96,2
97,1
98,2
99,2
100,1
101,2
102,0
103,2
104,2
105,0
106,2
107,2
108,2
109,2
110,2
111,2
112,0
113,2
114,2
115,2
116,2
117,0
118,0
119,2
120,0
121,2
122,2
123,2
124,2
125,2
126,2
127,0
128,2
129,0
130,2
131,2
132,1
133,2
134,2
135,2
136,0
137,2
138,2
139,0
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,0
151,0
152,2
153,2
154,2
155,2
156,2
157,1
158,2
159,2
160,1
161,2
162,0
163,2
164,2
165,2
166,2
167,2
168,1
169,2
170,2
171,2
172,0
173,2
174,0
175,2
176,2
177,0
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,1
188,0
189,2
190,2
191,0
192,2
193,2
194,2
195,0
196,2
197,0
198,1
199,0
200,2
201,2
202,2
203,2
204,2
205,0
206,2
207,0
208,2
209,0
210,2
211,2
212,2
213,2
214,2
215,2
216,0
217,2
218,2
219,2
220,2
221,2
222,0
223,2
224,2
225,2
226,2
227,2
228,1
229,2
230,2
231,1
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,1
240,0
241,2
242,2
243,2
244,0
245,2
246,2
247,2
248,2
249,0
250,1
251,1
252,2
253,2
254,0
255,2
256,0
257,1
258,1
259,2
260,1
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,1
274,2
275,2
276,0
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,0
306,2
307,2
308,2
309,2
310,0
311,2
312,0
313,0
314,2
315,1
316,0
317,1
318,2
319,2
320,1
321,1
322,2
323,0
324,2
325,2
326,1
327,1
328,2
329,2
330,2
331,2
332,0
